titre,nom,stars,localisation,nb_reviews,date_review,date_experience,comment
Just fine,SELENA T,Rated 5 out of 5 stars,US,1 review,2018-05-12T07:03:48.000Z,,Just fine customer service
Fast,ANITA F,Rated 5 out of 5 stars,US,1 review,2018-05-12T04:53:14.000Z,,FastPainlessEasy
Fast and accurate.,CHASE J,Rated 5 out of 5 stars,US,2 reviews,2018-05-12T04:21:58.000Z,,
Really easy to use.,ROBERT C,Rated 5 out of 5 stars,US,1 review,2018-05-12T04:18:27.000Z,,
Pricey but but delivers just as…,TYLER C,Rated 4 out of 5 stars,US,1 review,2018-05-12T03:27:26.000Z,,Pricey but but delivers just as described.
I was surprised at how fast it took the…,MELVIN W,Rated 5 out of 5 stars,US,1 review,2018-05-12T03:09:17.000Z,,I was surprised at how fast it took the deliver my new phone. Super service and helpful personnel.
Because i like the service,EDITH C,Rated 5 out of 5 stars,US,1 review,2018-05-12T03:04:19.000Z,,
wonderful turn around time and got the…,JJ,Rated 5 out of 5 stars,US,1 review,2018-05-12T02:25:53.000Z,,wonderful turn around time and got the replacement phone the next day!
Excellent,SANDRA R,Rated 5 out of 5 stars,US,1 review,2018-05-12T02:23:17.000Z,,"Excellent, immediate delivery next day."
You did a great,FLORINDA L,Rated 4 out of 5 stars,US,1 review,2018-05-12T02:09:10.000Z,,You did a great job. Easy paperwork and fast service. Thanks
Beware of the $29.00 deductible for a…,Lisa,Rated 1 out of 5 stars,US,1 review,2018-05-12T01:18:32.000Z,,"Beware of the $29.00 deductible for a screen repair.  Apparently, the parts have to be ""available"" in your area or your only other option is $199.00 deductible for a new phone.  I live in Nashville, TN and parts are not available.  Really!?"
Fast and user friendly,GEOFFERY G,Rated 5 out of 5 stars,US,1 review,2018-05-12T01:00:18.000Z,,
My new device was sent,CLIFTON H,Rated 5 out of 5 stars,US,1 review,2018-05-12T00:57:48.000Z,,"My new device was sent,  old one returned with no issues."
Incredibly efficient,DEBBIE S,Rated 5 out of 5 stars,US,1 review,2018-05-12T00:57:29.000Z,,Incredibly efficient.  Att ordered on Saturday afternoon late and I received my replacement phone that following Tuesday afternoon. So happy to have had this insurance plan.
you guys were great,JON C,Rated 5 out of 5 stars,US,1 review,2018-05-12T00:54:28.000Z,,you guys were great.  ..
Put in my claim at 9pm and had the…,Laurie D,Rated 5 out of 5 stars,US,1 review,2018-05-12T00:41:26.000Z,,Put in my claim at 9pm and had the replacement by 3pm the next day.   Great service!
Quick and easy,TEAL S,Rated 5 out of 5 stars,US,2 reviews,2018-05-12T00:36:23.000Z,,
Can't say my experience was a good one,GARRET B,Rated 1 out of 5 stars,US,1 review,2018-05-12T00:29:31.000Z,,"Can't say my experience was a good one.  Firstly, I could not send phone back via mailing slip due to incorrect packing slip.  ASURION sent me a new slip with an extension to my return.  Every other day they were calling me at random times, trying to see if I sent back the package and that they have not received my broken device.  They gave me an extension, didn't note it on my account and then proceeded to moderately harass me."
You sent a return envelops that the…,DA,Rated 3 out of 5 stars,US,1 review,2018-05-12T00:22:39.000Z,,"You sent a return envelops that the post office would not accept. Seems this was a common problem at that time, but you did not contact me."
Normally insurance is aggravating. This isn't.,CYNTHIA S,Rated 5 out of 5 stars,US,1 review,2018-05-12T00:21:19.000Z,,I received my new phone quickly; a day after I filed my claim. It was super easy to move my SIM card over and start enjoying my new phone. And the 15-day to return policy allowed me the time to transfer over files and info that I needed onto my new phone without being stressed out about it.
Love how fast it was,JAMES W,Rated 5 out of 5 stars,US,1 review,2018-05-12T00:14:49.000Z,,
Efficient,SH K,Rated 5 out of 5 stars,US,1 review,2018-05-11T23:51:41.000Z,,Fast and easy
Fast turn-around time is impressive,ROSS M,Rated 5 out of 5 stars,US,1 review,2018-05-11T23:25:04.000Z,,"Fast turn-around time is impressive, and their methods made the experience from start to finish, easy and comfortable."
Very fast delivery and ease of return…,GLENDA S,Rated 5 out of 5 stars,US,1 review,2018-05-11T23:19:45.000Z,,Very fast delivery and ease of return was fantastic.
Quick turnaround,Cliff P,Rated 5 out of 5 stars,US,1 review,2018-05-11T23:18:47.000Z,,"Quick turnaround, no-hassle return. Thank you."
Took care of me in a very timely…,CHRISTOPHER B,Rated 5 out of 5 stars,US,1 review,2018-05-11T23:14:52.000Z,,Took care of me in a very timely manner. It's nice to have an insurance coverage that works. Thank you!!!
Thanks very easy fast and convenient,BRIAN D,Rated 5 out of 5 stars,US,1 review,2018-05-11T22:54:57.000Z,,
The screen was broken on my phone,JVP,Rated 4 out of 5 stars,US,1 review,2018-05-11T20:56:19.000Z,,"The screen was broken on my phone, ended up taking it to a local repair place per Ashurioms suggestion, phone was working just a cracked screen, repair shop broke the phone during repair. It took 2!days to get a replacement phone. It’s working good."
If I could rate 100 stars I would I've…,KENNY P,Rated 5 out of 5 stars,US,1 review,2018-05-11T20:49:56.000Z,,"If I could rate 100 stars I would I've never had such a great experience with any insurance company to date I will never change companies, thank you for all that you do!"
went beyond expectation,Cynthia Hutchison,Rated 5 out of 5 stars,US,1 review,2018-05-11T20:46:44.000Z,,"went beyond expectation, would recommend Asurion to anyone"
Very good prompt service,TODD H,Rated 5 out of 5 stars,US,1 review,2018-05-11T19:45:58.000Z,,
Thank you for the very quick…,KAG,Rated 5 out of 5 stars,US,3 reviews,2018-05-11T19:14:44.000Z,,Thank you for the very quick replacement!
Best Insurance company for Cell phone,DANA B,Rated 5 out of 5 stars,US,1 review,2018-05-11T19:08:22.000Z,,"Best Insurance company for Cell phone, and the employees are so helpful"
Great,LL,Rated 5 out of 5 stars,US,1 review,2018-05-11T18:17:36.000Z,,Great service.
Quick and easy!,SHERRY D,Rated 5 out of 5 stars,US,1 review,2018-05-11T16:37:15.000Z,,
It takes too many calls to get the …,AMBAR G,Rated 3 out of 5 stars,US,1 review,2018-05-11T16:06:28.000Z,,It takes too many calls to get the  from start to finish.
Very pleased with service,LARRY M,Rated 5 out of 5 stars,US,2 reviews,2018-05-11T14:54:46.000Z,,
Service was excellent,JUDY K,Rated 5 out of 5 stars,US,2 reviews,2018-05-11T14:41:42.000Z,,Service was excellent!  I use my phone for work so it was crucial that I get the replacement in a timely manner and you can't beat next day service.
Easy and fast service,RANDALL W,Rated 5 out of 5 stars,US,1 review,2018-05-11T14:09:06.000Z,,Filing a claim was so easy and my new phone arrived promptly! Would definitely recommend.
Here the next day very easy to set…,JEFFERY R,Rated 5 out of 5 stars,US,1 review,2018-05-11T14:06:43.000Z,,Here the next day very easy to set phone back up and very easy process of sending the damaged one back
"Service great, cost of protection needs to be evaluated by owner for maximum benefit",Gerard Howell,Rated 5 out of 5 stars,US,1 review,2018-05-11T13:47:10.000Z,,"The replacement came over night,  Rather than following you inline instructions for changing phones, i went to the nearby carrier. I kept the old phone for the audio books. I duck taped the camera hole.The replacement cost was $85 for replacing a galaxy 5  for my old Galaxy 5 and $30 for keeping the old one. I held on to the insurance too long for maximum benefit. On the other hand it was less than $1000 for a new phone.Service great, cost needs to be evaluated periodically for the time to drop it, unless you are as clumsy or  forgetful of the last place you placed the phoneGerard"
Very timely and helpful,MICHELLE K,Rated 5 out of 5 stars,US,1 review,2018-05-11T13:34:18.000Z,,
Fast,PETER M,Rated 5 out of 5 stars,US,2 reviews,2018-05-11T13:14:28.000Z,,Great job in immediate service
Fast delivery,LAUREN B,Rated 5 out of 5 stars,US,1 review,2018-05-11T12:53:06.000Z,,
very good and fast company,Noel,Rated 5 out of 5 stars,US,5 reviews,2018-05-11T12:37:07.000Z,,
"Fast, Reliable Service",ASH J,Rated 5 out of 5 stars,US,1 review,2018-05-11T11:59:22.000Z,,I honestly didn't think my issue would be resolved so quickly. I shattered my screen accidentally and was expecting to not have a phone for a while. I had my new phone within 48 hours (and that was because I broke it on a Saturday night)!
Great and easy service!,ANNE L,Rated 5 out of 5 stars,US,1 review,2018-05-11T11:58:55.000Z,,
I feel like the service was great,Joanne M,Rated 5 out of 5 stars,US,1 review,2018-05-11T11:11:11.000Z,,I feel like the service was great! You let me know when it would arrive & simple instructions on how to transfer & reset old phone & ship broken device back to you.
Happy Experience,JOHN C,Rated 5 out of 5 stars,US,1 review,2018-05-11T11:08:21.000Z,,"I was unsure about doing the claim as when I called in the guy sounded like he was on a cell phone as the sound was very muffled. But his reassurance was great. At the end he told me that my iPad would be here the next day and gave me a tracking number and the iPad arrived the exact next day like he said. I’m very, very happy with the service and with Asurion. Thank you."
Excellent service -5 stars,HELEN P,Rated 5 out of 5 stars,US,1 review,2018-05-11T10:44:14.000Z,,Replacement phone delivered as promised.  My son was so pleased to be able to communicate again.  Excellent service
Fast replacement.,NORMAN W,Rated 5 out of 5 stars,US,1 review,2018-05-11T10:14:20.000Z,,
I received my phone replacement within…,B ANDERSON,Rated 5 out of 5 stars,US,13 reviews,2018-05-11T06:28:38.000Z,,I received my phone replacement within 16 hours of my claim. It was fast and easy.
Thank you for the excellent customer…,STEVEN W,Rated 5 out of 5 stars,US,1 review,2018-05-11T05:11:09.000Z,,Thank you for the excellent customer service
Initially 2 star but you turned it around!,SLACKER400,Rated 4 out of 5 stars,US,3 reviews,2018-05-11T04:09:28.000Z,,At the end of the day it's a great service! I must admit though the processing time on the website was really poor. I had to call in multiple times to get my case open and then I got some run around about my device not being registered under my Verizon account.I had to 'esign' statements with lots of scary legalese attached to it. I got my replacement phone quickly (Thank you) and then had more troubles with my return label not being accepted by the USPS.
Great customer service and fast claim…,Adrian,Rated 5 out of 5 stars,US,2 reviews,2018-05-11T03:01:24.000Z,,Great customer service and fast claim processing
Imrpressive,GRANT F,Rated 5 out of 5 stars,US,3 reviews,2018-05-11T02:56:16.000Z,,I received a new phone in less than 24 hours. 👍
Very quick and fast shipping,MARIA C,Rated 5 out of 5 stars,US,1 review,2018-05-11T02:50:53.000Z,,
I would recommend this company to…,CONCEPCION C,Rated 5 out of 5 stars,US,2 reviews,2018-05-11T02:40:45.000Z,,I would recommend this company to everybody
Easy and phone was replaced with days.,JODY J,Rated 5 out of 5 stars,US,1 review,2018-05-11T02:40:14.000Z,,
Thank you good services,LILIAN C,Rated 5 out of 5 stars,US,1 review,2018-05-11T02:24:59.000Z,,
Satisfied customer,TATYANA P,Rated 4 out of 5 stars,US,1 review,2018-05-11T02:11:10.000Z,,We appreciated the efficient  streamlined process of replacing the phone. Zero hassle. Thank you.
Customer service was very friendly and…,Denetria Smith,Rated 5 out of 5 stars,US,2 reviews,2018-05-11T02:06:39.000Z,,"Customer service was very friendly and easy to talk to you. I received my phone next day, as expected!"
Did a great job!,PATRICK M,Rated 5 out of 5 stars,US,1 review,2018-05-11T02:03:17.000Z,,
It was a fast turn around on the phone…,HEATHER D,Rated 4 out of 5 stars,US,2 reviews,2018-05-11T01:44:37.000Z,,"It was a fast turn around on the phone so my son was only without one for a short time. The hard part was that we were supposed to shut off his device to return it, and we struggled to get it to turn off since the screen was crasked in that spot and it wouldn’t allow us to turn it off. The hard shutdown wouldn’t work either. Eventually I was able to get it to turn off, but I was concerned it wouldn’t be in enough time for the swap to be made. Also, although we were required to have the phone turned off, the phone we received was on."
Fast and no hassle,PATRICIA G,Rated 5 out of 5 stars,US,1 review,2018-05-11T01:32:39.000Z,,
Thank you!!!,Spike,Rated 5 out of 5 stars,US,1 review,2018-05-11T01:26:21.000Z,,
To the point,Kd M,Rated 4 out of 5 stars,US,1 review,2018-05-11T01:24:11.000Z,,"Great everything was to the point,  Made sure I understood everything. Made sure there was no confusion."
I just think the deductible is toooo…,OSCAR V,Rated 3 out of 5 stars,US,1 review,2018-05-11T01:16:44.000Z,,I just think the deductible is toooo high we pay Ins fee all the time and don’t use it until we loose or someone stills our phone
phone,KAREN B,Rated 5 out of 5 stars,US,4 reviews,2018-05-11T01:09:14.000Z,,fast and prompt
Easiest claim I have ever filed and…,WIILIAM C,Rated 5 out of 5 stars,US,1 review,2018-05-11T01:06:11.000Z,,Easiest claim I have ever filed and super fast delivery!!
Excellent service and having my new…,Jeffery Kimball,Rated 5 out of 5 stars,US,1 review,2018-05-11T01:03:24.000Z,,Excellent service and having my new phone within 24 hours!!
Simple repair became royal pain,STEPHEN W,Rated 1 out of 5 stars,US,1 review,2018-05-11T01:01:34.000Z,,"I needed to repair the screen on my current cellphone so I could trade it in for a brand new phone. The equipment Asurion sent the tech with was faulty and the only way to replace the screen was to destroy the old one. After the tech was finished, my phone was less functional than before and could still not be traded in. Upon calling Asurion to report the failed repair I was informed they could not send anyone else out to fix it BUT I could pay a small fee of $120 to replace the whole phone. I had previously paid $30 for a failed screen replacement and did not feel like wasting any additional money on this company's subpar service. It took an hour of phone time (calling from someone else's phone because mine was unusable) to finally get a reasonable resolution to the problem, one that didn't cost me a ton more money to resolve a problem their lousy equipment made worse. I should say that the tech was efficient and polite and the company (and their policies and their fees and their telephone customer service) are pretty pathetic. I am deeply saddened that should my current phone be damaged I will have to deal with them again."
One word.....DOPE!!!,DANIEL M,Rated 5 out of 5 stars,US,1 review,2018-05-11T00:44:18.000Z,,One word.....DOPE!!!! I don't usually make good decisions but this one is
Replacement phone,CHRISTIAN L,Rated 5 out of 5 stars,US,1 review,2018-05-11T00:26:02.000Z,,I had got my replacement phone way earlier than predicted and it works amazing
Quick & easy,JENNIFER G,Rated 5 out of 5 stars,US,1 review,2018-05-11T00:23:24.000Z,,Quick & easy. Had my new phone in less than 24 hours!!!
Fixed our RC car quickly and returned…,MONIQUE J,Rated 5 out of 5 stars,US,1 review,2018-05-11T00:19:03.000Z,,Fixed our RC car quickly and returned it to us fast. We are very pleased!
Excellent service.,ALETHA S,Rated 5 out of 5 stars,US,2 reviews,2018-05-11T00:18:32.000Z,,
Fast turn around .,ROBIN W,Rated 4 out of 5 stars,US,1 review,2018-05-11T00:13:21.000Z,,Fast turn around .. very friendly staff.
Was easy service to use,TYLOR R,Rated 5 out of 5 stars,US,1 review,2018-05-11T00:10:44.000Z,,"Was easy service to use, they sent phone right away. Phone ended up at the wrong address. Called them and they sent another phone. Great customer service"
Expensive,SHAWN H,Rated 4 out of 5 stars,US,1 review,2018-05-11T00:10:19.000Z,,Expensive Although it was taken care of quickly
we received the wrong type phone in…,BARBARA E,Rated 5 out of 5 stars,US,1 review,2018-05-10T23:57:52.000Z,,we received the wrong type phone in replacement; the phones (both) are in transit  to you now. so the correct phone will be sent to us..
I'm glad I got it.there was no hassle.i…,OSCAR V,Rated 3 out of 5 stars,US,1 review,2018-05-10T23:52:51.000Z,,I'm glad I got it.there was no hassle.i did have to pay 149 dollars deductible.so make sure you get the right plan for you if you can't afford the deductable
Help was great and painless,David M,Rated 5 out of 5 stars,US,1 review,2018-05-10T23:44:29.000Z,,
i dropped my phone and really shattered…,ERIC S,Rated 5 out of 5 stars,US,1 review,2018-05-10T23:31:07.000Z,,"i dropped my phone and really shattered the screen ,i made a claim and had no issue was given a choice of several phones as my previous phone was discontinued, it came two days later right when i was told it would arrive and was able back  in business."
super quick,Mario Mendoza,Rated 5 out of 5 stars,US,1 review,2018-05-10T23:28:31.000Z,,Hi!phone arrived really quick. thank you.i
So easy to work with,RYAN M,Rated 5 out of 5 stars,US,1 review,2018-05-10T23:27:58.000Z,,So easy to work with! The best and fastest phone replacement I've ever had.
So straight forward and easy to deal…,CRAIG B,Rated 5 out of 5 stars,US,1 review,2018-05-10T23:15:09.000Z,,So straight forward and easy to deal with.  Would not hesitate to recommend!!
Easy to do,Carl,Rated 5 out of 5 stars,US,6 reviews,2018-05-10T23:13:38.000Z,,"Easy to do, glad I had insured my device."
Replacement,MARIA L,Rated 5 out of 5 stars,US,1 review,2018-05-10T23:13:29.000Z,,Good service
Service was fast,Robert S,Rated 5 out of 5 stars,US,1 review,2018-05-10T23:02:45.000Z,,"Service was fast, easy and I was reconnected quickly. Thank you for the prompt response."
"""What are you going to do cancel and keep your broken phone?""",b,Rated 1 out of 5 stars,US,1 review,2018-05-10T22:46:10.000Z,,"They sent a broken phone. Took me over an hour to reach someone to get another. They ""forgot"" to send me my second replacement. Another hour on the phone and they aren't even apologetic. She said, ""What are you going to do cancel and keep your broken phone?"""
Fast delivery,TERESITA G,Rated 5 out of 5 stars,US,1 review,2018-05-10T22:43:04.000Z,,"Fast delivery, Quick Response and Very HelpfulStaff"
Easy to report our claim,EGPS,Rated 5 out of 5 stars,US,2 reviews,2018-05-10T22:41:11.000Z,,"Easy to report our claim, fast replacement! Good communication along the way. Thanks."
Very quick delivery of replacement…,GREGORY P,Rated 5 out of 5 stars,US,1 review,2018-05-10T22:20:25.000Z,,Very quick delivery of replacement phone. Hassle free
Super easy and fast experience.,CHARLENE C,Rated 5 out of 5 stars,US,1 review,2018-05-10T21:11:08.000Z,,
Excellent service No issue's,WILLIE B,Rated 5 out of 5 stars,US,1 review,2018-05-10T20:16:34.000Z,,
Easy process,JOHN S,Rated 5 out of 5 stars,US,1 review,2018-05-10T18:55:33.000Z,,Easy process.  Customer service very helpful!!!
very excellent and very promt,ROSE Y,Rated 5 out of 5 stars,US,1 review,2018-05-10T18:50:44.000Z,,
Good,LENNY C,Rated 3 out of 5 stars,US,1 review,2018-05-10T17:50:44.000Z,,Frustrating at first with the security questions. I understand keeping our information safe but answers to the security questions based on your history of the past 25+ years is not easy and sometimes can be impossible to remember. Once we got past that it was smooth sailing through the rest of the process and the representative I spoke to over the phone was pleasant.
This was the second claim I filed for…,Teresa M,Rated 5 out of 5 stars,US,1 review,2018-05-10T17:40:46.000Z,,This was the second claim I filed for this phone within 6 months. I am extremely satisfied with the way Asurion handled the claim and I had the new phone the next day. Their customer service and the process for filing the claim was excellent. Would highly recommend this company.
Quick and easy!,NICOLE R,Rated 5 out of 5 stars,US,1 review,2018-05-10T17:28:23.000Z,,
Easy and fast,MELANIE C,Rated 5 out of 5 stars,US,1 review,2018-05-10T16:58:17.000Z,,Easy and fast!  Thank you!
Thank you for all your assistance.,BETTY M,Rated 5 out of 5 stars,US,1 review,2018-05-10T16:51:11.000Z,,
The only problem is the  envelope…,KAREN B,Rated 5 out of 5 stars,US,1 review,2018-05-10T16:27:58.000Z,,The only problem is the  envelope wouldn’t scan at the post office.
Fast and Easy,KRISTIN L,Rated 5 out of 5 stars,US,1 review,2018-05-10T16:24:46.000Z,,I was able to order a replacement phone via the site on  Saturday and received it on Monday.
Received replacement phone in less than…,KATHRYN S,Rated 5 out of 5 stars,US,1 review,2018-05-10T16:04:45.000Z,,Received replacement phone in less than 24 hours!  Thanks!
Great service as always!,STANLEY S,Rated 5 out of 5 stars,US,1 review,2018-05-10T15:58:52.000Z,,
Good Experience,Ryan Carter,Rated 5 out of 5 stars,US,1 review,2018-05-10T15:50:52.000Z,,Great. Shipment of the phone was fast. A definite success story of why having insurance is important.
Good communication and easy to work…,ANA ,Rated 4 out of 5 stars,US,3 reviews,2018-05-10T15:45:27.000Z,,Good communication and easy to work with.
efficient process,MARIE K,Rated 5 out of 5 stars,US,1 review,2018-05-10T15:36:18.000Z,,Got the phone quickly and your instructions are very clear! I use my phone for my biz so I'm VERY grateful for your efficient process!
I was absolutely amazed at how…,JIMMY G,Rated 5 out of 5 stars,US,1 review,2018-05-10T15:31:56.000Z,,I was absolutely amazed at how efficiently my claim was handled. I filed my claim one day and had my replacement the very next day.  I am very busy so this rapid turn around is wonderful.  Thank you so much.
Things went really well,Stacy V,Rated 5 out of 5 stars,US,1 review,2018-05-10T15:31:09.000Z,,Things went really well. Although the tech that came to repair the screen on the phone ultimately broke the replacement screen. We did get a new replacement phone.
Good Experience,Rich,Rated 4 out of 5 stars,US,1 review,2018-05-10T15:28:35.000Z,,"Other than not being able to enter my correct and complete work address on their website for shipping, it was a good experience."
Fast shipping time no issues with…,MATTHEW M,Rated 5 out of 5 stars,US,1 review,2018-05-10T15:21:12.000Z,,Fast shipping time no issues with replacement device.
VERY GOOD SERVICE,KEVIN B,Rated 5 out of 5 stars,US,2 reviews,2018-05-10T14:54:34.000Z,,
The process was very smooth,CORY K,Rated 5 out of 5 stars,US,2 reviews,2018-05-10T14:52:11.000Z,,"The process was very smooth, I had my replacement device in about 24 hours!"
Another,Edward,Rated 5 out of 5 stars,US,8 reviews,2018-05-10T14:39:40.000Z,,Easy to use - efficient
Fast great service,KEVIN Y,Rated 5 out of 5 stars,US,2 reviews,2018-05-10T14:24:34.000Z,,
Very fast and easy process for claim,FC,Rated 5 out of 5 stars,US,1 review,2018-05-10T14:12:45.000Z,,
The replacement was very fast and easy,JODI ,Rated 5 out of 5 stars,US,1 review,2018-05-10T14:02:59.000Z,,The replacement was very fast and easy! First time ever using the insurance and so far it was seamless.
Fast,RUTH D,Rated 5 out of 5 stars,US,1 review,2018-05-10T14:01:03.000Z,,"Fast, efficient and great customer service"
got a new phone the next day.,WILLIAM H,Rated 5 out of 5 stars,US,1 review,2018-05-10T13:57:36.000Z,,
Easy replacement of broken device,MALEGXY M,Rated 5 out of 5 stars,US,1 review,2018-05-10T13:38:18.000Z,,Had an easy time getting a replacement for my son's broken cell phone.  The replacement device arrived the next day.
So easy and fast!,JUSTINE H,Rated 5 out of 5 stars,US,1 review,2018-05-10T13:37:54.000Z,,
Awesome,MARTIN M,Rated 5 out of 5 stars,US,1 review,2018-05-10T13:35:44.000Z,,"Awesome, quick, reliable service"
They walked me through the process,LORI W,Rated 5 out of 5 stars,US,1 review,2018-05-10T13:23:14.000Z,,They walked me through the process.  The delivery of the phone and what the lady told me was exactly what was done.
Ordered the phone friday,Amir T,Rated 5 out of 5 stars,US,2 reviews,2018-05-10T13:21:08.000Z,,"Ordered the phone friday, got it Saturday morning..great service"
Prompt service,PHYLLIS L,Rated 5 out of 5 stars,US,1 review,2018-05-10T13:19:09.000Z,,
Promt service exelent,DAVID B,Rated 5 out of 5 stars,US,1 review,2018-05-10T13:08:03.000Z,,
Awesome service,DONALD F,Rated 5 out of 5 stars,US,1 review,2018-05-10T13:07:02.000Z,,Awesome service. Quick delivery on my replacement phone. Thanks so much
The customer service agent who helped…,JENNIFER L,Rated 5 out of 5 stars,US,1 review,2018-05-10T12:52:43.000Z,,The customer service agent who helped me was so nice. It was needed after i  was so upset about  getting my phone stolen. Thank you!
The phone came very quickly and is…,TRACEY E,Rated 5 out of 5 stars,US,1 review,2018-05-10T12:39:19.000Z,,The phone came very quickly and is working just fine! Thanks for the great service.
Asurion has helped us to quickly…,MIKE J,Rated 5 out of 5 stars,US,1 review,2018-05-10T12:26:40.000Z,,Asurion has helped us to quickly replace numerous iPhones under warranty. Always fast and efficient service that minimizes downtime.
Fast and easy,DS,Rated 5 out of 5 stars,US,1 review,2018-05-10T12:20:06.000Z,,"Fast and easy, thankful for this!!!"
Great Service,LESTER O,Rated 5 out of 5 stars,US,1 review,2018-05-10T12:19:28.000Z,,
great as always,MORGAN R,Rated 5 out of 5 stars,US,3 reviews,2018-05-10T12:19:06.000Z,,great as always ! fast delivery
Great service!!,Terry Graver,Rated 5 out of 5 stars,US,3 reviews,2018-05-10T12:18:13.000Z,,
Very quick response and customer…,SHARON S,Rated 5 out of 5 stars,US,2 reviews,2018-05-10T11:53:16.000Z,,"Very quick response and customer service rep was professional and knowledgeable about warranty questions. Got replacement phone the next day, as promised."
Smooth process,CALI T,Rated 5 out of 5 stars,US,2 reviews,2018-05-10T11:39:59.000Z,,Smooth process. Great communication. Fast delivery of my new device.
You did great got my phone the very…,Jean mazako,Rated 5 out of 5 stars,US,2 reviews,2018-05-10T11:37:38.000Z,,You did great got my phone the very next day.  Would have liked a more affordable replacement cost for getting the same phone
Quick easy process,Michele Flowers,Rated 5 out of 5 stars,US,2 reviews,2018-05-10T11:29:28.000Z,,Quick easy process My daughter was happy
Great service,LAMARCUS M,Rated 5 out of 5 stars,US,3 reviews,2018-05-10T10:43:46.000Z,,Fast and helpful
Great service,JOHN H,Rated 5 out of 5 stars,US,1 review,2018-05-10T10:30:56.000Z,,Great service!  Very fast
I was so impressed with Asurion's…,Jane ,Rated 5 out of 5 stars,US,1 review,2018-05-10T10:14:25.000Z,,"I was so impressed with Asurion's service! I made a claim on a Friday,  expecting to have to wait until Monday to receive a replacement phone,  which would have been terrible as I need to be available to clients for my job. However,  I received my phone the next day,  on a Saturday! Sending back my broken phone was also super easy.  Very impressed with Asurion and their awesome customer service! I would recommend Asurion to anyone =)"
I was in a situation where I needed a…,SIAOSI T,Rated 5 out of 5 stars,US,1 review,2018-05-10T08:16:51.000Z,,"I was in a situation where I needed a replacement right away.  Asurion assisted with the paper work required to expedite the replacement.  Easy, fast, convenient!"
They were helpful and knowledgeable to…,Jose Perez,Rated 5 out of 5 stars,US,3 reviews,2018-05-10T07:12:15.000Z,,They were helpful and knowledgeable to get my phone  very fast.
Very polite,MARKUS G,Rated 5 out of 5 stars,US,1 review,2018-05-10T04:18:07.000Z,,Very polite! No hassle! Knew what they were doing!
fast helpful service thank you,ELSA R,Rated 5 out of 5 stars,US,1 review,2018-05-10T04:05:14.000Z,,
I had to call about 8 times,S.,Rated 3 out of 5 stars,US,1 review,2018-05-10T03:46:58.000Z,,I had to call about 8 times. Several times I was disconnected. Other times I was told I would get a call back. never happened. Major waste of time.
I was very satisfied with the steps…,Esmo,Rated 5 out of 5 stars,US,1 review,2018-05-10T03:29:57.000Z,,I was very satisfied with the steps explained to me & the overall service was great! I rcvd the new phone promptly & without difficulty. My daughter followed the neccessary dteps & activated the phone. I was very pleased with Adurion’s response & assistance.
Had my phone back within 24h,Chris,Rated 5 out of 5 stars,US,1 review,2018-05-10T03:08:25.000Z,,
Great,ROBIN SVEEN,Rated 5 out of 5 stars,US,4 reviews,2018-05-10T02:59:09.000Z,,Great. Thank you.
Great service!,NEIL S,Rated 5 out of 5 stars,US,2 reviews,2018-05-10T02:48:22.000Z,,
It was really good but it felt like you…,CLAYTON P,Rated 3 out of 5 stars,US,1 review,2018-05-10T02:46:47.000Z,,It was really good but it felt like you had to jump through a ton of hoops. It felt like they wanted to find every way not to replace the phone that I was paying insurance on. It bugged me a lot but once you get through all the red tape the phone arrived the next day and set up was easy.
Quick,MICHELE H,Rated 5 out of 5 stars,US,1 review,2018-05-10T02:43:44.000Z,,"Quick, easy and efficient service. Thankful for having this coverage and the ease of taking care of out broken device."
Great fast service.,ma,Rated 5 out of 5 stars,US,1 review,2018-05-10T02:38:17.000Z,,
Great service,KIMBERLY S,Rated 5 out of 5 stars,US,3 reviews,2018-05-10T02:32:21.000Z,,
The experience worked out great.,EDGER D,Rated 5 out of 5 stars,US,1 review,2018-05-10T02:30:51.000Z,,
Excellent and quick service!,ELADIA A,Rated 5 out of 5 stars,US,1 review,2018-05-10T02:15:01.000Z,,Excellent and quick service. I am very satisfied and will always insure my phones with them.
Great service,HARESH P,Rated 5 out of 5 stars,US,1 review,2018-05-10T02:07:04.000Z,,
My son's phone was replaced quickly,CARL V,Rated 5 out of 5 stars,US,2 reviews,2018-05-10T02:03:04.000Z,,"My son's phone was replaced quickly, and the people at Asurion were very helpful."
Replaced hot spot device,CAROL C,Rated 4 out of 5 stars,US,1 review,2018-05-10T01:55:49.000Z,,I called and explained my device was broken. It had to be replaced with a different type of device. It took 48 hours only.  Fast and friendly service.
Back up and running,KAYLEEN F,Rated 5 out of 5 stars,US,1 review,2018-05-10T01:52:03.000Z,,Got replacement phone next day as promised.
Everything went smooth and thank you,BETH M,Rated 5 out of 5 stars,US,1 review,2018-05-10T01:42:29.000Z,,
So Easy!,ALMA D,Rated 5 out of 5 stars,US,1 review,2018-05-10T01:41:23.000Z,,It was easy to follow the claim and my new device came quickly!
Painless exchange,REGINA B,Rated 5 out of 5 stars,US,1 review,2018-05-10T01:41:20.000Z,,"Very smooth phone exchange after my husband shattered his screen. Called representative, had the phone within 24 hours and returned the damaged phone on day 2 in envelope provided."
Happy in the end,SHERI S,Rated 4 out of 5 stars,US,1 review,2018-05-10T01:40:10.000Z,,"Happy in the end.  It was a bit challenging going through the process, but in the end they replaced my phone and I'm happy."
